species,Anguilla,St.Martin,St.Barthelemy,Saba,St.Eustacius,Monserrat,Guadeloupe,Dominica,Martinique,St.Lucia,Barbados,Grenada
Sterna_anaethetus,0,1,0,1,0,0,1,1,1,0,0,0
Sterna_fuscata,0,0,0,0,0,0,1,1,0,0,0,0
Puffinus_lherminieri,1,1,1,1,1,1,1,0,1,0,1,0
Fregata_magnificens,0,0,0,0,0,0,0,0,1,0,1,0
Molothrus_bonariensis,0,0,0,0,0,0,0,1,1,1,1,1
Anous_stolidus,0,1,0,1,0,0,1,1,1,1,0,1
Chondrohierax_uncinatus,0,0,0,0,0,0,0,0,0,0,0,1
Chordeiles_gundlachii,0,0,0,0,0,0,1,0,0,0,0,0
Dendrocygna_arborea,0,0,0,0,0,0,1,0,0,0,0,0
Dendrocygna_autumnalis,0,0,0,0,0,0,0,0,0,0,1,0
Dendroica_delicata,0,0,0,0,0,0,0,0,0,1,0,0
Fulica_caribaea,0,1,0,0,0,0,1,0,1,0,1,0
Oxyura_jamaicensis,0,1,0,0,0,0,1,0,0,0,1,1
Sterna_dougallii,0,1,0,0,0,0,0,0,0,0,0,0
Zenaida_asiatica,0,0,0,1,1,0,0,0,0,0,0,0
,,,,,,,,,,,,
Area (ha),7370,9190,2190,1300,2344,10065,147216,78730,116660,63980,46240,32270
sp.r,33,40,36,26,26,35,57,54,55,51,34,47
