species,Anguilla,St.Martin,St.Barthelemy,Saba,St.Eustacius,Monserrat,Guadeloupe,Dominica,Martinique,St.Lucia,Barbados,Grenada,Extinct
Glaucis_hirsutus,0,0,0,0,0,0,0,0,0,0,0,1,N
Leptotila_wellsi,0,0,0,0,0,0,0,0,0,0,0,1,N
Chondrohierax_uncinatus,0,0,0,0,0,0,0,0,0,0,0,1,N
Elaenia_flavogaster,0,0,0,0,0,0,0,0,0,0,0,1,N
Lathrotriccus_euleri,0,0,0,0,0,0,0,0,0,0,0,1,N
Myiarchus_nugator,0,0,0,0,0,0,0,0,0,0,0,1,N
Turdus_fumigatus,0,0,0,0,0,0,0,0,0,0,0,1,N
Tangara_cucullata,0,0,0,0,0,0,0,0,0,0,0,1,N
Volatinia_jacarina,0,0,0,0,0,0,0,0,0,0,0,1,N
Sporophila_nigricollis,0,0,0,0,0,0,0,0,0,0,0,1,N
Amazona_violacea,0,0,0,0,0,0,1,0,0,0,0,0,Y
Zenaida_aurita,1,1,1,1,1,1,1,1,1,1,1,1,N
Sterna_fuscata,0,0,1,0,1,0,1,1,1,1,0,0,N
Sterna_anaethetus,0,1,0,1,0,0,1,1,1,0,0,0,N
Puffinus_lherminieri,1,1,1,1,1,1,1,0,1,0,1,1,N
Fregata_magnificens,0,0,0,0,0,0,0,0,1,0,1,0,N
Sula_leucogaster,0,0,0,0,0,0,0,0,0,0,0,1,N
Anous_stolidus,0,0,0,1,0,0,1,1,1,1,0,1,N
Chordeiles_gundlachii,0,0,0,0,0,0,1,0,0,0,0,0,N
Dendrocygna_arborea,0,0,0,0,0,0,1,1,0,0,0,0,N
Dendrocygna_autumnalis,0,0,0,0,0,0,0,0,0,0,1,0,N
Dendroica_delicata,0,0,0,0,0,0,0,0,0,1,0,0,N
Fulica_caribaea,0,1,0,0,0,0,1,0,1,0,1,0,N
Sterna_dougallii,0,1,0,0,0,0,1,1,0,0,0,1,N
Sula_sula,0,0,0,0,0,0,0,0,0,0,1,0,N
,,,,,,,,,,,,,
Area (ha),7370,9190,2190,1300,2344,10065,147216,78730,116660,63980,46240,32270,
sp.r,33,38,36,26,26,34,62,54,56,51,34,48,
